Who ^whp+who+++=Who
dancing ^xvbg+++xvbg+=dancing
you ^pp2+pp2+++=you
re ^in++++=re
thinking ^xvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
darn ^rb++++=darn
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
baby ^nn++++=baby
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
still ^rb++++=still
love ^vb++++=love
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
think ^vb+vprv+++=think
there ^rn+pl+++=there
s ^zz++++=s
room ^nn++++=room
for ^in++++=for
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
so ^ql++++=so
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
evolving ^vbg+++xvbg+=evolving
as ^in++++=as
a ^at++++=a
musician ^nn++++=musician.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+obj++=who
s ^zz++++=s
stuck ^vbd+++xvbn+=stuck
in ^in++++=in
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+vrb++=has
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
my ^pp$+pp1+++=my
own ^ap++++=own
man ^nn++++=man.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
so ^ql++++=so
not ^xnot++not++=not
true ^jj++++=true.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
Rachel ^np++++=Rachel.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
overreaction ^nn+nom+++=overreaction
to ^in++++=to
a ^at++++=a
bad ^jj+atrb+++=bad
zipper ^nn++++=zipper
injury ^nn++++=injury.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
quit ^vb++++=quit,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
With ^in++++=With
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
took ^vbd+++xvbn+=took
you ^pp2+pp2+++=you
so ^ql++++=so
long ^rb++++=long?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Avenger ^np+++??+=Avenger
versus ^in++++=versus
archeologist ^nn+nom+++=archeologist.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
s ^zz++++=s
a ^at++++=a
nice ^jj+atrb+++=nice
look ^nn++++=look
in ^in++++=in
nineteen ^cd++++=nineteen
fourty ^nn+++??+=fourty-foura.
- ^zz++++=EXTRAWORD
foura ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
plays ^nns++++=plays
with ^in++++=with
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
plays ^nns++++=plays
with ^in++++=with
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
Thor ^np++++=Thor
and ^cc++++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
plays ^nns++++=plays
with ^in++++=with
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
plays ^nns++++=plays
with ^in++++=with
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
was ^vbd+bedz+aux++=was
the ^ati++++=the
last ^ap++++=last
actual ^jj+atrb+++=actual
exercise ^nn++++=exercise
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got?
? ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
cool ^jj++++=cool.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
Puss ^np+++??+=Puss
in ^in++++=in
Boots ^nns++++=Boots.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
still ^rb++++=still
be ^vb+be+vrb++=be
swashers ^nns+nom+++=swashers.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
here ^rn+pl+++=here
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
s ^zz++++=s
gonna ^md+prd+++0=gonna
be ^vb+be+vrb++=be
like ^in++++=like
Game ^nn++++=Game
of ^in++++=of
Thrones ^np+++??+=Thrones.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
ooh ^uh++++=ooh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot
about ^in++++=about
Princess ^nns+nom+++=Princess
Bride ^nn++++=Bride.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
s ^zz++++=s
my ^pp$+pp1+++=my
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
re ^in++++=re
like ^in++++=like
the ^ati++++=the
Rockettes ^nns+nom++??+=Rockettes.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
Inigo ^np+++??+=Inigo
Montoya ^np+++??+=Montoya.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
killed ^vbd+++xvbn+=killed
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Prepare ^vb++++=Prepare
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
Puss ^np+++??+=Puss
in ^in++++=in
Boots ^nns++++=Boots.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
killed ^vbd+++xvbn+=killed
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Prepare ^vb++++=Prepare
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
is ^vbz+bez+vrb++=is
Little ^ap++++=Little
Orphan ^nn++++=Orphan
Annie ^np+++??+=Annie.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
killed ^vbd+++xvbn+=killed
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
Prepare ^vb++++=Prepare
to ^to+vcmp+++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
never ^rb++++=never
thought ^nn+++xvbn+=thought
you ^pp2+pp2+++=you
d ^zz++++=d
end ^nn++++=end
up ^rp++++=up
in ^in++++=in
a ^at++++=a
relationship ^nn+nom+++=relationship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
you ^pp2+pp2+++=you
met ^vbd+++xvbn+=met
Amy ^np+++??+=Amy.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
there ^rn+pl+++=there
s ^zz++++=s
someone ^pn++++=someone
else ^rb+cnj+++=else
out ^rp+pl+++=out
there ^rn+pl+++=there
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Whoa ^np+++??+=Whoa,
, ^zz++++=EXTRAWORD
whoa ^nn+++??+=whoa.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
strange ^jj+atrb+++=strange
woman ^nn++++=woman
in ^in++++=in
a ^at++++=a
bar ^nn++++=bar
usually ^rb+down+++=usually
doesn ^nn+++??+=doesn
t ^zz++++=t
work ^nn++++=work.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
sips ^nns+++??+=sips
of ^in++++=of
that ^dt+dem+++=that
beer ^nn++++=beer
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
have ^vb+hv+vrb++=have?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
need ^vb++++=need
Kripke ^np+++??+=Kripke?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
t ^zz++++=t
you ^pp2+pp2+++=you
just ^rb+emph+++=just
go ^vb++++=go
to ^in++++=to
Party ^nn++++=Party
City ^nn++++=City
for ^in++++=for
helium ^nn++++=helium?
? ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
people ^nns++++=people
were ^vbd+bed+aux++=were
still ^rb++splt++=still
talking ^vbg+++xvbgx+=talking
about ^in++++=about
that ^dt+dem+++=that
party ^nn++++=party
on ^in++++=on
siete ^nn+++??+=siete
de ^&fw++++=de
Mayo ^np+++??+=Mayo.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
guys ^nns++++=guys
up ^rp++++=up
to ^to++++=to?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
fun ^nn++++=fun.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
definitely ^rb++++=definitely
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Uh ^uh++++=Uh,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
s ^zz++++=s
Indian ^jj++++=Indian.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ve ^nn+++??+=ve
already ^rb++++=already
got ^vbd+++xvbn+=got
one ^pn++++=one
of ^in++++=of
those ^dt+pdem+++=those.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
find ^vb+vprv+++=find
a ^at++++=a
nice ^jj+atrb+++=nice
Latino ^np+++??+=Latino,
, ^zz++++=EXTRAWORD
really ^rb+emph+++=really
round ^rp++++=round
us ^pp1o+pp1+++=us
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
won ^vbd+++xvbnx+=won
t ^zz++++=t
be ^vb+be+aux++=be
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
other ^ap++++=other
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
a ^at++++=a
fair ^jj+atrb+++=fair
point ^nn++++=point.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wouldn ^nn+++??+=wouldn
t ^zz++++=t
make ^vb++++=make
fun ^nn++++=fun
of ^in++++=of
someone ^pn++++=someone
like ^in++++=like
this ^dt+dem+++=this
to ^in++++=to
their ^pp$+pp3+++=their
face ^nn++++=face.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
want ^vb++++=want
to ^to+vcmp+++=to
leave ^vbi++++=leave
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
that ^dt+dem+++=that
same ^ap++++=same
underwear ^nn+++??+=underwear.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
time ^nn++++=time
last ^jj+atrb+++=last
night ^nn++++=night.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
all ^abn++++=all
never ^rb++++=never
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Hmm ^np+++??+=Hmm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
doing ^vwbg+++xvbg+=doing
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
popular ^jj++++=popular
at ^in++++=at
13 ^cd++++=13.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
At ^rb++++=At
home ^nr++++=home.
. ^zz++++=EXTRAWORD
The ^ati++++=The
servants ^nns+nom+++=servants
would ^md+prd+++=would
sing ^vb++++=sing
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
laugh ^nn++++=laugh
at ^rb++++=at
my ^pp$+pp1+++=my
jokes ^nns++++=jokes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
their ^pp$+pp3+++=their
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
high ^jj++++=high
five ^cd++++=five.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father-in-law
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
there ^rn+pl+++=there
right ^nn++++=right
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
Got ^j+++xvbn+=Got
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
sure ^jj++++=sure?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
pretty ^rb++++=pretty
great ^jj+atrb+++=great
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sorry ^uh++++=sorry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
generous ^jj++++=generous
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
like ^vb++++=like
to ^to+vcmp+++=to
switch ^vbi++++=switch
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
easy ^jj++++=easy
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
crawlspace ^nn+++??+=crawlspace
under ^in++++=under
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
check ^nn++++=check.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
interesting ^jj++++=interesting
your ^pp$+pp2+++=your
father ^nn++++=father
didn ^nn+++??+=didn
t ^zz++++=t
help ^vb++++=help
around ^rp++++=around
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
Howard ^np++++=Howard
doesn ^nn+++??+=doesn
t ^zz++++=t
help ^vb++++=help,
, ^zz++++=EXTRAWORD
either ^dtx++++=either,
, ^zz++++=EXTRAWORD
so ^rb++++=so
in ^in++++=in
a ^at++++=a
way ^nn++++=way,
, ^zz++++=EXTRAWORD
Howard ^np++++=Howard
s ^zz++++=s
not ^xnot++not++=not
only ^rb+down+++=only
like ^in++++=like
your ^pp$+pp2+++=your
father ^nn++++=father,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
s ^zz++++=s
also ^rb++++=also
like ^in++++=like
the ^ati++++=the
child ^nn++++=child
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
re ^in++++=re
afraid ^jj++++=afraid
to ^to+jcmp+++=to
have ^vbi++vrb++=have.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
sounds ^nns++++=sounds
like ^in++++=like
somebody ^pn++++=somebody
needs ^vbz++++=needs
a ^at++++=a
fresh ^jj+atrb+++=fresh
diaper ^nn++++=diaper.
. ^zz++++=EXTRAWORD
So ^ql++++=So
what ^wdt+who+++=what
s ^zz++++=s
up ^rp++++=up?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
re ^in++++=re
not ^xnot++not++=not
wrong ^jj++++=wrong
about ^in++++=about
Fruit ^nn++++=Fruit
Stripe ^nn++++=Stripe.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
Hubba ^np+++??+=Hubba
Bubba ^np+++??+=Bubba
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
jaw ^nn++++=jaw
wants ^vbz++++=wants
what ^wdt+who+++=what
it ^pp3+it+++=it
wants ^vbz++++=wants.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
right ^jj++++=right,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
girlfriend ^nn+++??+=girlfriend.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
re ^in++++=re
afraid ^jj++++=afraid
it ^pp3+it+++=it
ll ^nn+++??+=ll
do ^vb+do+vrb++=do
a ^at++++=a
better ^jjr+atrb+++=better
job ^nn++++=job
than ^in++++=than
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
basic ^jj+atrb+++=basic
human ^jj+atrb+++=human
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
we ^pp1a+pp1+++=we
present ^jj++++=present
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
prize ^nn++++=prize,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
they ^pp3a+pp3+++=they
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
d ^zz++++=d
say ^vb+vpub+tht0++=say
you ^pp2+pp2+++=you
oh ^uh++++=oh.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
set ^vb+++xvbn+=set
it ^pp3+it+++=it
up ^rp++++=up
like ^in++++=like
a ^at++++=a
scavenger ^jjr+atrb+++=scavenger
hunt ^nn++++=hunt
where ^wrb+who+++=where
the ^ati++++=the
last ^rb++++=last
puzzle ^nn++++=puzzle
gives ^vbz++++=gives
the ^ati++++=the
winner ^nn++++=winner
Sheldon ^np++++=Sheldon
s ^zz++++=s
contact ^nn++++=contact
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
a ^rb++++=a
little ^rb"++++=little
jealous ^jj++++=jealous
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
get ^vb++++=get
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
exciting ^jj+pred+++=exciting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
we ^pp1a+pp1+++=we
didn ^nn+++??+=didn
t ^zz++++=t
make ^vb++++=make
the ^ati++++=the
puzzles ^nns++++=puzzles
too ^ql++++=too
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
37 ^cd++++=37
minutes ^nns++++=minutes
left ^vbd+++xvbn+=left
until ^in++++=until
the ^ati++++=the
deadline ^nn++++=deadline.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
as ^in++++=as
fun ^nn++++=fun
as ^in++++=as
the ^ati++++=the
night ^nn++++=night
we ^pp1a+pp1+++=we
blew ^vbd+++xvbn+=blew
up ^rp++++=up
grapes ^nns++++=grapes
in ^in++++=in
the ^ati++++=the
microwave ^nn++++=microwave.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
really ^rb+emph+++=really
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
full ^jj+atrb+++=full
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
you ^pp2+pp2+++=you
don ^npt++++=don
t ^zz++++=t
want ^vb++++=want
someone ^pn++++=someone
exactly ^rb++++=exactly
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
opposites ^nns++++=opposites
attract ^vb++++=attract.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty
seconds ^nns++++=seconds.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
looking ^jj+++xvbg+=looking
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty
seconds ^nns++++=seconds.
. ^zz++++=EXTRAWORD
Guys ^nns++++=Guys,
, ^zz++++=EXTRAWORD
fifteen ^cd++++=fifteen
seconds ^nns++++=seconds.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
one ^pn++++=one.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
too ^ql++++=too
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
matters ^nns+nom+++=matters.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
when ^wrb+who+whcl++=when
the ^ati++++=the
time ^nn++++=time
is ^vbz+bez+vrb++=is
right ^jj+pred+++=right
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
meet ^vbi++++=meet
someone ^pn++++=someone,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
ll ^nn+++??+=ll
just ^rb+emph+++=just
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
because ^cs+cos+++=because
of ^in"++++=of
a ^at++++=a
test ^nn++++=test
or ^cc++++=or
a ^at++++=a
Web ^nn++++=Web
site ^nn++++=site,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
the ^ati++++=the
dreamers ^nns+nom+++=dreamers
of ^in++++=of
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
Answer ^nn++++=Answer
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
you ^pp2+pp2+++=you
send ^vb++++=send
her ^pp$+pp3+++=her
away ^rp+pl+++=away?
? ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
you ^pp2+pp2+++=you
guys ^nns++++=guys
seen ^vbd+vprv++xvbn+=seen
this ^dt+dem+++=this
feature ^nn++++=feature
that ^tht+rel+subj++=that
lets ^vbz++++=lets
you ^pp2+pp2+++=you
talk ^vb++++=talk
to ^in++++=to
Siri ^np+++??+=Siri
without ^in++++=without
pressing ^xvbg+++xvbg+=pressing
any ^dti++++=any
buttons ^nns++++=buttons?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
just ^rb+emph+++=just
say ^vb+vpub+++=say,
